timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms
2026-08-19 12:20:53,13.5,86.6,72.8,11036520,66881110,34690,62923,139,468.93
2026-08-19 12:20:59,32.0,87.1,72.8,11042256,66908106,34711,62959,139,463.48
2026-08-19 12:21:06,15.5,86.2,72.8,11059506,66972166,34779,63060,146,438.81
2026-08-19 12:21:12,18.1,86.5,72.8,11069570,67024689,34817,63126,147,446.32
2026-08-19 12:21:19,12.1,86.5,72.8,11083067,67057363,34855,63180,145,444.92
2026-08-19 12:21:25,11.3,86.5,72.8,11088894,67089194,34878,63220,145,461.7
2026-08-19 12:21:32,16.6,86.6,72.8,11094830,67116684,34902,63265,147,440.71
2026-08-19 12:21:38,10.5,86.7,72.8,11100195,67140019,34919,63301,147,430.86
2026-08-19 12:21:44,10.7,86.0,72.8,11105935,67180578,34940,63366,147,432.43
2026-08-19 12:21:51,21.6,85.9,72.8,11123264,67217836,35003,63446,144,451.91
2026-08-19 12:21:57,16.3,86.1,72.8,11130690,67251283,35044,63505,147,500.55
2026-08-19 12:22:04,12.7,86.1,72.8,11148456,67368280,35139,63622,154,454.63
2026-08-19 12:22:10,15.7,85.9,72.8,11154321,67380419,35162,63652,151,453.15
2026-08-19 12:22:17,19.7,86.4,72.8,11173169,67439775,35235,63744,152,449.97
2026-08-19 12:22:23,12.5,86.3,72.8,11184155,67463607,35259,63780,134,434.33
2026-08-19 12:22:30,40.8,86.6,72.8,11235641,68424830,35554,64667,145,462.05
2026-08-19 12:22:36,47.7,90.9,72.8,11937663,76928401,38471,72603,340,565.78
2026-08-19 12:22:44,25.3,91.1,72.8,12971346,80432785,43786,78835,794,1474.44
2026-08-19 12:22:51,20.1,89.8,72.8,13388297,81267867,45565,80976,890,471.62
2026-08-19 12:22:57,22.2,89.4,72.8,13545796,81385485,45896,81382,879,428.45
2026-08-19 12:23:03,17.0,89.0,72.8,13575275,81441241,46006,81574,868,432.34
2026-08-19 12:23:10,20.3,88.3,72.8,13582898,81466161,46041,81654,828,465.71
2026-08-19 12:23:16,16.7,87.9,72.8,13604658,81508378,46107,81796,795,430.39
2026-08-19 12:23:23,17.8,88.3,72.8,13697607,81586668,46328,82027,785,445.21
2026-08-19 12:23:29,23.3,88.3,72.8,13714839,81619482,46468,82184,779,436.99
2026-08-19 12:23:36,13.5,87.4,72.8,13723786,81649528,46529,82269,777,442.66
2026-08-19 12:23:42,18.9,87.4,72.8,13751463,81701154,46714,82483,754,457.2
