timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms,time_diff_seconds,bytes_sent_diff,bytes_received_diff,packets_sent_diff,packets_received_diff,bytes_sent_per_second,bytes_received_per_second,packets_sent_per_second,packets_received_per_second,network_bytes_per_second,network_packets_per_second,high_cpu,high_ram,high_response_time,anomaly_prediction,anomaly_score,status
2026-08-19 12:14:43,22.9,89.0,71.8,5715213,40402173,11825,28179,137,571.18,7.0,182049.0,4486751.0,748.0,3631.0,26007.0,640964.4285714285,106.85714285714286,518.7142857142857,666971.4285714285,625.5714285714286,0,0,0,1,0.033556817907220426,NORMAL
2026-08-19 12:14:49,3.9,89.2,71.8,5801233,41971615,12123,29498,137,465.92,6.0,86020.0,1569442.0,298.0,1319.0,14336.666666666666,261573.66666666663,49.66666666666666,219.83333333333331,275910.3333333333,269.5,0,0,0,1,0.07434479047762121,NORMAL
2026-08-19 12:14:56,19.8,89.6,71.8,5935361,45065832,12680,32037,142,443.22,7.0,134128.0,3094217.0,557.0,2539.0,19161.14285714286,442031.0,79.57142857142857,362.7142857142857,461192.1428571429,442.2857142857143,0,0,0,1,0.08826710146261907,NORMAL
2026-08-19 12:15:02,15.7,91.6,71.8,6154312,49896460,13542,36039,154,538.8,6.0,218951.0,4830628.0,862.0,4002.0,36491.833333333336,805104.6666666666,143.66666666666666,667.0,841596.5,810.6666666666666,0,1,0,1,0.0028029569361753826,NORMAL
2026-08-19 12:15:09,36.8,92.5,71.8,6626826,53535045,15286,39885,261,581.81,7.0,472514.0,3638585.0,1744.0,3846.0,67502.0,519797.8571428572,249.14285714285717,549.4285714285714,587299.8571428572,798.5714285714286,0,1,0,-1,-0.04634999457468625,ANOMALY
2026-08-19 12:15:15,3.0,90.3,71.8,6657699,53600404,15371,40005,254,500.32,6.0,30873.0,65359.0,85.0,120.0,5145.5,10893.166666666666,14.166666666666666,20.0,16038.666666666666,34.166666666666664,0,1,0,1,0.06213005686823192,NORMAL
2026-08-19 12:15:23,65.7,98.4,71.8,7395587,60186427,19080,45890,505,1777.85,8.0,737888.0,6586023.0,3709.0,5885.0,92236.0,823252.875,463.625,735.625,915488.875,1199.25,0,1,1,-1,-0.1694960197151526,ANOMALY
2026-08-19 12:15:32,35.7,95.8,72.8,8342764,61500869,23740,50275,973,2772.27,9.0,947177.0,1314442.0,4660.0,4385.0,105241.88888888888,146049.11111111112,517.7777777777778,487.22222222222223,251291.0,1005.0,0,1,1,-1,-0.13276257209680264,ANOMALY
2026-08-19 12:15:39,11.2,90.1,72.8,8877256,62974937,26300,53406,1042,443.43,7.0,534492.0,1474068.0,2560.0,3131.0,76356.0,210581.14285714287,365.7142857142857,447.2857142857143,286937.14285714284,813.0,0,1,0,-1,-0.036088528746905824,ANOMALY
2026-08-19 12:15:45,18.6,89.4,72.8,8897908,63028675,26379,53604,1038,449.13,6.0,20652.0,53738.0,79.0,198.0,3442.0,8956.333333333334,13.166666666666666,33.0,12398.333333333334,46.16666666666666,0,0,0,1,0.1653190552520924,NORMAL
2026-08-19 12:15:52,31.5,89.0,72.8,9018939,63117011,26628,53896,979,458.22,7.0,121031.0,88336.0,249.0,292.0,17290.14285714286,12619.42857142857,35.57142857142857,41.71428571428572,29909.571428571428,77.28571428571428,0,0,0,1,0.14143466219342749,NORMAL
2026-08-19 12:16:00,35.1,93.6,72.8,9588872,63742716,29167,56192,1236,2039.73,8.0,569933.0,625705.0,2539.0,2296.0,71241.625,78213.125,317.375,287.0,149454.75,604.375,0,1,1,-1,-0.08506419146545274,ANOMALY
2026-08-19 12:16:06,17.8,93.4,72.8,9911194,64393746,30602,57986,1255,441.77,6.0,322322.0,651030.0,1435.0,1794.0,53720.333333333336,108505.0,239.16666666666663,299.0,162225.33333333334,538.1666666666666,0,1,0,1,0.012361785044175067,NORMAL
2026-08-19 12:16:13,12.7,92.8,72.8,9928382,64428710,30719,58158,1241,473.39,7.0,17188.0,34964.0,117.0,172.0,2455.428571428572,4994.857142857143,16.714285714285715,24.571428571428573,7450.285714285715,41.28571428571429,0,1,0,1,0.12089554564505234,NORMAL
2026-08-19 12:16:19,14.8,89.4,72.8,9947141,64453921,30854,58320,1225,436.91,6.0,18759.0,25211.0,135.0,162.0,3126.5,4201.833333333333,22.5,27.0,7328.333333333333,49.5,0,0,0,1,0.1359600966027873,NORMAL
2026-08-19 12:16:26,13.6,89.2,72.8,9953624,64488413,30890,58383,1212,436.07,7.0,6483.0,34492.0,36.0,63.0,926.1428571428572,4927.428571428572,5.142857142857143,9.0,5853.571428571428,14.142857142857142,0,0,0,1,0.14145515122478236,NORMAL
2026-08-19 12:16:32,32.3,91.0,72.8,9961503,64514707,30946,58512,1193,444.84,6.0,7879.0,26294.0,56.0,129.0,1313.1666666666667,4382.333333333333,9.333333333333334,21.5,5695.5,30.833333333333336,0,1,0,1,0.1209530875106462,NORMAL
2026-08-19 12:16:39,27.6,95.8,72.8,10002050,64605497,31104,58689,1194,447.02,7.0,40547.0,90790.0,158.0,177.0,5792.428571428572,12970.0,22.571428571428573,25.285714285714285,18762.42857142857,47.85714285714286,0,1,0,1,0.09148764718779073,NORMAL
2026-08-19 12:16:45,46.3,96.2,72.8,10033607,64675212,31284,58885,1197,464.49,6.0,31557.0,69715.0,180.0,196.0,5259.5,11619.166666666666,30.0,32.666666666666664,16878.666666666664,62.66666666666666,0,1,0,1,0.06767209541680175,NORMAL
2026-08-19 12:16:52,10.6,93.8,72.8,10090676,64726388,31431,59051,1191,478.72,7.0,57069.0,51176.0,147.0,166.0,8152.714285714285,7310.857142857143,21.0,23.714285714285715,15463.571428571428,44.71428571428572,0,1,0,1,0.1084356973154672,NORMAL
2026-08-19 12:16:58,35.4,94.7,72.8,10109324,64754244,31539,59185,1181,512.35,6.0,18648.0,27856.0,108.0,134.0,3108.0,4642.666666666667,18.0,22.33333333333333,7750.666666666667,40.33333333333333,0,1,0,1,0.07962668844578602,NORMAL
2026-08-19 12:17:05,44.6,96.1,72.8,10179480,65228676,31907,59670,1161,505.05,7.0,70156.0,474432.0,368.0,485.0,10022.285714285714,67776.0,52.57142857142857,69.28571428571429,77798.28571428571,121.85714285714286,0,1,0,1,0.030642873638031976,NORMAL
2026-08-19 12:17:12,45.5,95.9,72.8,10224501,65323635,32026,59824,1113,479.86,7.0,45021.0,94959.0,119.0,154.0,6431.571428571428,13565.57142857143,17.0,22.0,19997.14285714286,39.0,0,1,0,1,0.07784386845532854,NORMAL
